spieler,team,verwandelt,fehlwuerfe,gesamt,quote
"Holm, Moritz-Maximilian",Gast,10,6,16,62.5
"Krause, Hannes",Heim,12,2,14,85.7
"Cordes, Hinnerk Peter",Heim,12,1,13,92.3
"Waschke, Marcel",Heim,9,2,11,81.8
"Schenzel, Carl",Gast,10,0,10,100.0
"Weiß, Luca-Elias",Gast,8,2,10,80.0
"Schulz, Cedric",Heim,7,2,9,77.8
"Conrad, Til",Heim,7,1,8,87.5
"Boithling, Aaron",Heim,7,1,8,87.5
"Ludwig, Paul Mattes",Heim,5,3,8,62.5
"Weiß, Luca-Elias",Heim,7,0,7,100.0
"Cordes, Hinnerk Peter",Gast,6,1,7,85.7
"Schreiner, Jannik",Gast,5,2,7,71.4
"Schenzel, Carl",Heim,6,0,6,100.0
"Huhnoldt, Hauke",Gast,4,2,6,66.7
"Gerloff, Gerrit",Gast,5,0,5,100.0
"Waschke, Marcel",Gast,4,1,5,80.0
"Luettmann, Kilian",Gast,2,3,5,40.0
"Luettmann, Kilian",Heim,4,1,5,80.0
"Vahldiek, Jan-Hendrik",Heim,4,1,5,80.0
"Specht, Lukas",Gast,4,1,5,80.0
"Conrad, Til",Gast,2,2,4,50.0
"Ludwig, Paul Mattes",Gast,3,1,4,75.0
"Zellmann, Niklas",Gast,4,0,4,100.0
"Wietfeld, Jonas",Gast,4,0,4,100.0
"Rauls, Lennart",Gast,3,1,4,75.0
"Specht, Lukas",Heim,2,1,3,66.7
"Hansen, Lars",Heim,3,0,3,100.0
"Ott, Andreas",Heim,2,1,3,66.7
"Erxleben, Lars",Gast,2,1,3,66.7
"Jäger, Vasco",Heim,3,0,3,100.0
"Borsum, Phil",Gast,2,0,2,100.0
"Boithling, Aaron",Gast,0,2,2,0.0
"Vahldiek, Jan-Hendrik",Gast,1,1,2,50.0
"Zawade, Ole",Gast,2,0,2,100.0
"Ott, Elias",Heim,2,0,2,100.0
"Ott, Andreas",Gast,1,1,2,50.0
"Huhnoldt, Hauke",Heim,1,1,2,50.0
"Hansen, Lars",Gast,0,2,2,0.0
"Schulz, Cedric",Gast,2,0,2,100.0
"Lange, Erik",Heim,0,1,1,0.0
"Laube, Mirko",Heim,1,0,1,100.0
"Hohls, Friedrich",Gast,0,1,1,0.0
"Dombrowski, Paul",Gast,0,1,1,0.0
"Albrecht, Lars",Gast,0,1,1,0.0
"Holm, Moritz-Maximilian",Heim,0,1,1,0.0
"Reuter, Sören",Gast,0,1,1,0.0
"Specht, Johannes",Gast,1,0,1,100.0
"Schwarznecker, Till",Gast,0,1,1,0.0
"Schmidt, Marcel",Heim,0,1,1,0.0
"Timme, Jasper",Gast,1,0,1,100.0
"Specht, Johannes",Heim,0,1,1,0.0
"Weiß, Leon",Heim,1,0,1,100.0
"Westphal, Jonas",Gast,0,1,1,0.0
"Wietfeld, Jonas",Heim,1,0,1,100.0
