spielnummer,tore_1_halbzeit,tore_2_halbzeit,tempo_1_halbzeit,tempo_2_halbzeit
107009,28,30,0.93,1.0
107010,27,17,0.9,0.57
107005,22,17,0.73,0.57
107024,21,29,0.7,0.97
107029,27,23,0.9,0.77
107026,32,33,1.07,1.1
107027,42,33,1.4,1.1
107002,29,35,0.97,1.17
107008,24,20,0.8,0.67
107025,23,25,0.77,0.83
107021,35,35,1.17,1.17
107012,27,20,0.9,0.67
107007,34,35,1.13,1.17
107015,25,34,0.83,1.13
107011,18,28,0.6,0.93
107017,21,33,0.7,1.1
107020,16,25,0.53,0.83
107014,34,34,1.13,1.13
107003,25,33,0.83,1.1
107004,36,30,1.2,1.0
107028,34,28,1.13,0.93
107019,27,24,0.9,0.8
107001,33,30,1.1,1.0
107013,24,28,0.8,0.93
107022,37,29,1.23,0.97
107016,28,29,0.93,0.97
107018,37,26,1.23,0.87
