minute,team,stand_heim,stand_gast,spieler,ereignis
0.75,Gast,0.0,1.0,"Fuchs, Marcel",Tor
0.95,Gast,0.0,2.0,"Fuchs, Marcel",Tor
2.3666666666666667,Gast,0.0,3.0,"Holm, Moritz-Maximilian",Tor
4.7,Heim,1.0,3.0,"Schulz, Cedric",Tor
5.683333333333334,Gast,1.0,4.0,"Solaker, Noah",Tor
6.2,Heim,2.0,4.0,"Noll, Sven",Tor
7.316666666666666,Gast,2.0,5.0,"Fasterling, Henri",Tor
7.883333333333333,Gast,2.0,6.0,"Holm, Moritz-Maximilian",7m-Tor
10.066666666666666,Heim,3.0,6.0,"Schulz, Cedric",7m-Tor
11.95,Gast,3.0,7.0,"Holm, Moritz-Maximilian",7m-Tor
13.383333333333333,Gast,3.0,8.0,"Böhme, Jan",Tor
14.016666666666667,Heim,4.0,8.0,"Radke, Arne",Tor
14.583333333333334,Gast,4.0,9.0,"Zwart, Patrick",Tor
14.7,Heim,5.0,9.0,"Schulz, Cedric",7m-Tor
16.716666666666665,Gast,5.0,10.0,"Holm, Moritz-Maximilian",7m-Tor
17.716666666666665,Gast,5.0,11.0,"Holm, Moritz-Maximilian",Tor
20.433333333333334,Heim,6.0,11.0,"Radke, Arne",Tor
20.85,Gast,6.0,12.0,"Fuchs, Marcel",Tor
21.583333333333332,Heim,7.0,12.0,"Radke, Arne",Tor
23.9,Heim,8.0,12.0,"Radke, Arne",Tor
26.633333333333333,Heim,9.0,12.0,"Bahn, Kjell",Tor
27.266666666666666,Gast,9.0,13.0,"Fuchs, Marcel",Tor
29.566666666666666,Gast,9.0,14.0,"Böhme, Jan",Tor
29.816666666666666,Heim,10.0,14.0,"Schulz, Cedric",7m-Tor
31.4,Gast,10.0,15.0,"Holm, Moritz-Maximilian",7m-Tor
33.55,Heim,11.0,15.0,"Schulz, Cedric",7m-Tor
34.36666666666667,Heim,12.0,15.0,"Noll, Sven",Tor
34.916666666666664,Heim,13.0,15.0,"Dieckmann, Lars",Tor
35.5,Gast,13.0,16.0,"Zwart, Patrick",Tor
35.8,Heim,14.0,16.0,"Kulisch, Björn Ole",Tor
36.7,Gast,14.0,17.0,"Fasterling, Henri",Tor
37.38333333333333,Gast,14.0,18.0,"Solaker, Noah",Tor
37.55,Heim,15.0,18.0,"Dieckmann, Lars",Tor
40.88333333333333,Heim,16.0,18.0,"Dieckmann, Lars",Tor
41.4,Gast,16.0,19.0,"Böhme, Jan",Tor
42.416666666666664,Gast,16.0,20.0,"Zwart, Patrick",Tor
43.45,Gast,16.0,21.0,"Zwart, Patrick",Tor
44.5,Gast,16.0,22.0,"Fasterling, Henri",Tor
45.38333333333333,Gast,16.0,23.0,"Wartjes, Sebastian",Tor
47.15,Heim,17.0,23.0,"Schulz, Cedric",Tor
48.3,Heim,18.0,23.0,"Tepp, Adrian",Tor
50.516666666666666,Heim,19.0,23.0,"Schulz, Cedric",Tor
52.166666666666664,Heim,20.0,23.0,"Pick, Julian",Tor
53.3,Heim,21.0,23.0,"Bahn, Kjell",Tor
53.86666666666667,Gast,21.0,24.0,"Holm, Moritz-Maximilian",Tor
53.96666666666667,Heim,22.0,24.0,"Dieckmann, Lars",Tor
55.05,Heim,23.0,24.0,"Bahn, Kjell",Tor
56.2,Gast,23.0,25.0,"Solaker, Noah",Tor
56.61666666666667,Heim,24.0,25.0,"Radke, Arne",Tor
57.95,Gast,24.0,26.0,"Fasterling, Henri",Tor
58.016666666666666,Heim,25.0,26.0,"Noll, Sven",Tor
59.18333333333333,Heim,26.0,26.0,"Radke, Arne",Tor
